,Unnamed: 0,year,month,days,hour,minute,second,depth,latitude,longitude,magnitude,station,station_latitude,station_longitude,pga,sa0.01,sa0.02,sa0.03,sa0.05,sa0.07,sa0.1,sa0.15,sa0.2,sa0.25,sa0.3,sa0.4,sa0.5,sa0.75,sa1,sa1.5,sa2,sa3,sa4,sa5,sa7.5,sa10,Vs30,HVSRamp,fpeak,T*,P*,Rock/Soil,event_type,HypDist,RupDist,JBDist,XDist,Azimuth,RupDepth,Strike,Dip,Rake
10099,10099,2024,12,17,16,0,44,99.0,-19.32,-69.32,4.5,A04P,-18.83368873596192,-69.74443817138672,0.0101,0.0101,0.0106,0.0114,0.0168,0.0232,0.0217,0.0276,0.0235,0.0178,0.0107,0.0053,0.00268,0.00108,0.00054,0.000202,0.000105,4.55e-05,-12300.0,-12300.0,-12300.0,-12300.0,483,1,1.60,-12345,-12345,-12345,Intra,121.22,121.22,69.95,47.16,320.24,99.0,0.0,0.0,-90.0
10100,10100,2024,10,14,3,21,51,101.0,-20.19,-69.29,4.5,T15A,-20.23925971984864,-70.0539779663086,0.0106,0.0106,0.0114,0.0154,0.0309,0.0303,0.0426,0.0202,0.00981,0.0048,0.0035,0.00189,0.00101,0.000382,0.000195,9.17e-05,4.91e-05,1.87e-05,9.76e-06,-12300.0,-12300.0,-12300.0,1003,0,-,-12345,-12345,-12345,Intra,128.86,128.86,80.03,84.89,265.96,101.0,0.0,0.0,-90.0
10101,10101,2024,10,14,3,21,51,101.0,-20.19,-69.29,4.5,T20A,-19.92437744140625,-69.51197052001953,0.0353,0.0353,0.0374,0.0417,0.0568,0.0828,0.112,0.0844,0.0845,0.0426,0.0219,0.00927,0.00558,0.00205,0.00111,0.000442,0.000259,0.000103,5.62e-05,3.46e-05,1.48e-05,-12300.0,517,2,6.50,-12345,-12345,-12345,Intra,107.73,107.73,37.47,24.66,321.67,101.0,0.0,0.0,-90.0
10102,10102,2024,10,14,3,21,51,101.0,-20.19,-69.29,4.5,T10A,-19.99539566040039,-69.76712799072266,0.0258,0.0258,0.0272,0.0314,0.0471,0.0697,0.0587,0.0661,0.0605,0.0286,0.0149,0.00918,0.00504,0.0017,0.000919,0.000381,0.000204,8.18e-05,-12300.0,-12300.0,-12300.0,-12300.0,336,2,4.01,sIII,B,Soil,Intra,114.7,114.7,54.35,53.01,293.27,101.0,0.0,0.0,-90.0
10103,10103,2025,5,6,16,25,31,67.0,-21.0,-69.63,4.5,T20A,-19.92441749572754,-69.51190185546875,0.0113,0.0113,0.0117,0.0148,0.0295,0.0358,0.0377,0.0282,0.0185,0.00807,0.00504,0.00228,0.00118,0.000429,0.000234,0.000121,6.51e-05,2.59e-05,1.42e-05,-12300.0,-12300.0,-12300.0,517,2,6.50,-12345,-12345,-12345,Intra,137.19,137.19,119.71,13.12,5.93,67.0,0.0,0.0,-90.0
10104,10104,2025,5,6,16,25,31,67.0,-21.0,-69.63,4.5,T15A,-20.239295959472656,-70.05390167236328,0.0113,0.0113,0.0129,0.021,0.0347,0.0448,0.0335,0.0119,0.00535,0.00336,0.00338,0.00172,0.00106,0.00038,0.000226,8.78e-05,4.11e-05,1.65e-05,-12300.0,-12300.0,-12300.0,-12300.0,1003,0,-,-12345,-12345,-12345,Intra,116.34,116.34,95.11,47.1,332.24,67.0,0.0,0.0,-90.0
10105,10105,2025,5,6,16,25,31,67.0,-21.0,-69.63,4.5,T08A,-20.27004814147949,-70.0941162109375,0.00775,0.00773,0.00807,0.0112,0.0189,0.035,0.015,0.012,0.00644,0.00412,0.00288,0.00202,0.0011,0.000506,0.000211,0.000105,4.36e-05,1.74e-05,8.3e-06,-12300.0,-12300.0,-12300.0,987,0,-,sIV,A,Soil,Intra,115.58,115.58,94.18,51.57,329.02,67.0,0.0,0.0,-90.0
10106,10106,2025,5,6,16,25,31,67.0,-21.0,-69.63,4.5,T03A,-20.23033905029297,-70.14585876464844,0.00678,0.00677,0.00693,0.00839,0.0122,0.017,0.0216,0.0159,0.011,0.00473,0.00345,0.00144,0.000914,0.000503,0.000209,9.73e-05,5.59e-05,1.99e-05,1.03e-05,-12300.0,-12300.0,-12300.0,613,1,8.95,sII,C,Soil,Intra,121.0,121.0,100.76,57.32,327.66,67.0,0.0,0.0,-90.0
10107,10107,2025,3,2,22,23,18,91.0,-20.69,-69.59,4.6,T08A,-20.27003669738769,-70.09412384033203,0.00528,0.00529,0.00616,0.00834,0.0147,0.0168,0.0167,0.0105,0.0046,0.00338,0.00326,0.00252,0.00226,0.00103,0.000514,0.000195,9.21e-05,3.43e-05,1.76e-05,1.12e-05,-12300.0,-12300.0,987,0,-,sIV,A,Soil,Intra,114.93,114.93,70.2,56.01,311.39,91.0,0.0,0.0,-90.0
10108,10108,2025,3,2,22,23,18,91.0,-20.69,-69.59,4.6,T10A,-19.995450973510746,-69.76705169677734,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,336,2,4.01,sIII,B,Soil,Intra,120.56,120.56,79.08,19.67,346.45,91.0,0.0,0.0,-90.0
10109,10109,2025,3,2,22,23,18,91.0,-20.69,-69.59,4.6,T20A,-19.92440223693848,-69.51190948486328,0.0123,0.0123,0.0136,0.0189,0.0248,0.0283,0.0432,0.0335,0.0109,0.00622,0.0034,0.00149,0.00108,0.000426,0.000219,0.000101,6.44e-05,2.97e-05,-12300.0,-12300.0,-12300.0,-12300.0,517,2,6.50,-12345,-12345,-12345,Intra,124.63,124.63,85.15,8.68,5.51,91.0,0.0,0.0,-90.0
10110,10110,2025,1,14,0,23,28,97.0,-20.29,-69.19,4.6,T10A,-19.995424270629883,-69.76702880859375,0.0142,0.0142,0.0146,0.0176,0.0256,0.0379,0.032,0.0469,0.038,0.0174,0.0139,0.00956,0.00303,0.00116,0.000573,0.000244,0.000152,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,336,2,4.01,sIII,B,Soil,Intra,118.79,118.79,68.58,64.11,298.29,97.0,0.0,0.0,-90.0
10111,10111,2025,1,14,0,23,28,97.0,-20.29,-69.19,4.6,T15A,-20.239233016967773,-70.05390167236328,0.0107,0.0107,0.0113,0.0132,0.0266,0.0345,0.0318,0.0171,0.0111,0.00811,0.00592,0.00366,0.00224,0.000826,0.00037,0.000142,7.65e-05,3.22e-05,-12300.0,-12300.0,-12300.0,-12300.0,1003,0,-,-12345,-12345,-12345,Intra,132.61,132.61,90.43,95.99,273.41,97.0,0.0,0.0,-90.0
